abseiling,Descending a rock face using a rope,Rappelling down a cliff,Using rope to come down a steep terrain,Climbing down vertically with a harness,Practicing controlled descent off a rock
acting in play,Performing on stage in a drama,Taking on a role in a theater production,Portraying a character in a stage play,Acting in a live theater performance,Bringing a script to life on stage
adjusting glasses,Pushing spectacles up the nose,Correcting the fit of eyewear,Fixing the position of eyeglasses,Aligning spectacles for better vision,Tweaking glasses for a comfortable fit
air drumming,Mimicking drum playing without drums,Pretending to play drums in the air,Simulating drumming moves with hands,Imitating a drummer without instruments,Performing an invisible drum solo
alligator wrestling,Grappling with a live alligator,Engaging in a tussle with an alligator,Attempting to control a wild alligator,Competing in a physical bout with an alligator,Struggling to overpower an alligator
answering questions,Responding to inquiries,Providing answers to asked questions,Giving responses in an interview,Replying to queries,Addressing questions from an audience
applauding,Clapping hands in appreciation,Showing approval with claps,Expressing enjoyment by clapping,Giving a round of applause,Acknowledging a performance with claps
applying cream,Rubbing lotion on the skin,Spreading a moisturizer over the body,Putting on skin care products,Massaging cream into the skin,Using a topical ointment for treatment
archaeological excavation,Unearthing artifacts from ancient sites,Digging up historical relics,Conducting digs at archaeological sites,Recovering ancient objects from the ground,Exploring old civilizations through excavation
archery,Shooting arrows with a bow,Practicing the sport of bow and arrow,Aiming and firing arrows at a target,Participating in an archery competition,Honing skills in arrow shooting
arguing,Having a heated debate,Engaging in a verbal disagreement,Disputing with words,Participating in a contentious discussion,Expressing differing opinions in a debate
arm wrestling,Competing in a test of arm strength,Locking hands in a strength challenge,Battling in a wrist wrestling match,Engaging in a power struggle of arms,Testing physical strength in an arm duel
arranging flowers,Creating floral arrangements,Designing bouquets of flowers,Organizing flowers aesthetically,Assembling floral displays,Putting together a flower arrangement
arresting,Detaining a suspect by law enforcement,Apprehending an individual for a crime,Taking someone into police custody,Making a legal apprehension,Capturing a person by the authorities
assembling bicycle,Piecing together a bike from parts,Constructing a bicycle from components,Putting together a bicycle step by step,Building a bike from a kit,Assembling various parts of a bicycle
assembling computer,Building a PC from scratch,Piecing together computer components,Assembling a desktop computer,Putting together a personal computing system,Constructing a computer from various parts
attending conference,Participating in a professional meeting,Joining a gathering of experts,Engaging in a business seminar,Attending an industry symposium,Being present at a professional development event
auctioning,Selling items in a bidding process,Conducting a public sale,Calling out bids at an auction,Facilitating a competitive buying process,Organizing a sale by auction
baby waking up,Infant stirring from sleep,Little one opening eyes after napping,Toddler awakening from slumber,Baby becoming alert from sleep,Young child rising from a nap
backflip (human),Performing an acrobatic backward somersault,Executing a reverse flip in the air,Doing a backward aerial tumble,Completing a back somersault,Flipping backwards in a gymnastic move
baking cookies,Preparing dough for cookies,Putting cookies in the oven,Making homemade cookies,Cooking sweet treats in the oven,Creating baked confections
bandaging,Wrapping a wound with a bandage,Applying a dressing to an injury,Covering a cut with a bandage,Securing a bandage over an injury,Attaching a protective covering to a wound
barbequing,Grilling food on a BBQ,Cooking meat on a barbecue grill,Preparing meals outdoors on a grill,Barbecuing various foods,Using a grill to cook food outside
bartending,Mixing drinks at a bar,Serving beverages at a pub,Preparing cocktails,Working behind a bar serving drinks,Making and serving alcoholic beverages
base jumping,Jumping from a fixed structure with a parachute,Leaping off a high point with a parachute,Performing a parachute jump from a static object,Executing a jump from a tall building or cliff,Skydiving from a non-moving structure
bathing dog,Washing a pet canine,Giving a dog a bath,Cleaning a dog with water and shampoo,Rinsing a dog in a tub,Grooming and bathing a household pet
battle rope training,Exercising with heavy ropes,Working out with weighted ropes,Performing strength training with ropes,Engaging in a rope-based fitness routine,Using battle ropes for a workout
beatboxing,Making percussion sounds with the mouth,Creating rhythmic sounds vocally,Performing vocal percussion,Imitating drum sounds with the mouth,Producing beat sounds orally
bee keeping,Tending to beehives,Managing honeybee colonies,Caring for bees in hives,Harvesting honey from beehives,Maintaining apiaries for beekeeping
being excited,Showing enthusiasm and joy,Expressing eagerness and anticipation,Demonstrating high energy and excitement,Displaying a lively and upbeat demeanor,Exhibiting intense happiness and exhilaration
being in zero gravity,Experiencing weightlessness,Floating in a zero-gravity environment,Feeling the absence of gravitational pull,Simulating space conditions with no gravity,Experiencing the sensation of floating freely
belly dancing,Performing Middle Eastern dance,Exhibiting traditional belly dance moves,Dancing with abdominal movements,Expressing art through belly movements,Showcasing rhythmic gyrations in dance
bench pressing,Lifting weights while lying on a bench,Exercising with barbell presses,Performing a chest workout with weights,Pushing weights from a bench position,Engaging in strength training with bench press
bending back,Arching the spine backwards,Performing a backbend movement,Stretching the back by bending it,Executing a backward spine flex,Demonstrating flexibility with a back arch
bending metal,Shaping metal by applying force,Forming metal into shapes by bending,Manipulating metal materials by flexing,Altering metal structure through bending,Crafting shapes by bending metal
biking through snow,Cycling on snowy terrain,Riding a bike in snowy conditions,Navigating a bicycle through snow,Pedaling a bike on snow-covered paths,Engaging in winter biking activities
blasting sand,Removing material with high-pressure sand,Cleaning surfaces with sandblasting,Using sand to strip surfaces,Eroding materials with sand spray,Performing abrasive blasting with sand
blending fruit,Mixing fruits in a blender,Creating fruit smoothies,Combining various fruits for blending,Preparing fruit mixtures in a blender,Making blended fruit drinks
blowdrying hair,Drying hair with a blowdryer,Styling hair using a hairdryer,Applying heat to wet hair for drying,Using a blowdryer for hair management,Creating hairstyles with a hair dryer
blowing bubble gum,Forming bubbles with gum,Expanding gum into a bubble,Creating large bubbles with chewing gum,Inflating gum with breath,Popping gum bubbles with air
blowing glass,Molding glass using breath,Forming glass art by blowing,Shaping molten glass with air,Creating glass objects through blowing,Crafting blown glassware
blowing leaves,Clearing leaves with a blower,Using air to move fallen leaves,Operating a leaf blower for cleanup,Dispersing leaves with blowing force,Removing leaf piles with air power
blowing nose,Clearing nasal passages,Using a tissue to blow the nose,Expelling mucus from the nose,Relieving nasal congestion,Sniffling and clearing the nostrils
blowing out candles,Extinguishing candles with breath,Snuffing out birthday cake candles,Putting out candle flames,Ending a celebration by blowing candles,Puffing air to extinguish candle lights
bobsledding,Racing in a bobsled on icy tracks,Sliding down slopes in a bobsleigh,Navigating a bobsled in a race,Speeding in a bobsleigh team,Competing in bobsled sporting events
bodysurfing,Riding ocean waves without a board,Gliding on water using body as surf,Catching waves with body movements,Surfing the sea with bodily control,Wave riding using body as a surfboard
bookbinding,Binding pages to create a book,Assembling books by hand,Crafting hardcover books,Joining pages and covers to make books,Creating physical books through binding
bottling,Filling bottles with liquids,Packaging drinks in glass containers,Sealing fluids in bottles for storage,Filling and capping bottles,Processing and bottling beverages
bouncing ball (not juggling),Dribbling a ball on the ground,Bouncing a ball repeatedly,Playing with a ball by bouncing,Rebounding a ball off the floor,Tossing and catching a ball by bouncing
bouncing on bouncy castle,Jumping on an inflatable castle,Playing on a bouncy house,Leaping in an air-filled playhouse,Enjoying a bouncy castle,Kids hopping in an inflatable structure
bouncing on trampoline,Jumping on a trampoline,Leaping high on a trampoline,Performing flips on a trampoline,Exercising with trampoline bounces,Rebounding energetically on a trampoline
bowling,Rolling a ball down a bowling lane,Striking pins in a bowling alley,Playing a game of ten-pin bowling,Competing in a bowling match,Knocking down pins with a bowling ball
braiding hair,Weaving strands of hair into a braid,Creating plaits with hair,Styling hair in braided patterns,Forming braids in hair,Decorative hair styling with braiding
breading or breadcrumbing,Coating food with breadcrumbs,Preparing breaded cutlets,Dipping food in breadcrumbs,Making crumb-coated dishes,Applying a breadcrumb layer to food
breakdancing,Performing acrobatic street dance,Executing breakdance moves,Dancing with athletic style,Showing off breakdancing skills,Engaging in energetic dance battles
breaking boards,Snapping wooden boards with force,Demonstrating martial arts by breaking boards,Splitting wood in martial arts,Practicing board breaking in karate,Executing power strikes on boards
breaking glass,Shattering glass with impact,Crushing glass objects,Smashing glass as a performance,Destructive breaking of glass,Fragmenting glass with force
breathing fire,Exhaling flames in a performance,Performing fire breathing tricks,Spewing fire from the mouth,Showcasing a fire breathing act,Entertaining with flame exhalation
brush painting,Applying paint with a brush,Creating art using a paintbrush,Painting surfaces with brush strokes,Using a brush for artwork,Artistically brushing paint on canvas
brushing floor,Sweeping the floor with a brush,Cleaning surfaces by brushing,Using a broom for floor cleaning,Scrubbing the floor with a brush,Maintaining cleanliness with floor brushing
brushing hair,Combing hair with a brush,Detangling hair using a hairbrush,Styling hair by brushing,Smoothing hair with brush strokes,Grooming hair with a brush
brushing teeth,Cleaning teeth with a toothbrush,Oral hygiene with tooth brushing,Maintaining dental health by brushing,Using a toothbrush for oral care,Brushing teeth for a healthy smile
building cabinet,Constructing a wooden cabinet,Assembling a cabinet from pieces,Creating storage furniture by building,Crafting a cabinet with tools,Putting together a cabinet
building lego,Assembling Lego blocks,Creating structures with Lego,Constructing models with Lego bricks,Building with interlocking Lego pieces,Piecing together Lego sets
building sandcastle,Creating castles with sand,Sculpting sand into castle shapes,Constructing sandcastles on the beach,Molding sand into architectural forms,Shaping beach sand into castles
building shed,Erecting a storage shed,Constructing a backyard shed,Assembling a garden shed,Building an outdoor storage unit,Creating a shed for tools and equipment
bulldozing,Clearing land with a bulldozer,Leveling ground using a bulldozer,Heavy-duty moving with a bulldozer,Operating a bulldozer for construction,Demolishing with heavy machinery
